video_id,face_present,num_faces,face_size_ratios,dominant_emotions,width,height,resolution,aspect_ratio,brightness,contrast,saturation,hue,estimated_gamma,sharpness,white_balance_deviation,exposure
efh4XuIodfg,1,1,[0.06319444444444444],happy,480,360,172800,1.3333333333333333,79.20868055555556,56.34019971690206,87.4077662037037,41.03609375,1.882699471221954,584.0040863413869,7.048387412948987,79.20868055555556
6t9Gx29AXPU,0,0,,angry,480,360,172800,1.3333333333333333,63.84086805555555,47.83311474781934,94.2661574074074,45.47734375,2.226384821655591,426.99959044442306,4.972160773843505,63.84086805555555
lZFQnNo1UAU,1,1,[0.04380208333333333],sad,480,360,172800,1.3333333333333333,44.32509259259259,33.07831405593467,114.93581597222222,52.51444444444444,2.829077459065318,202.51630746514383,4.265251111795374,44.32509259259259
GBSHcvdbOSE,1,1,[0.13020833333333334],sad,480,360,172800,1.3333333333333333,83.51072916666666,55.02056210884345,69.88619791666666,53.424803240740744,1.8381656990822486,602.3043864253459,8.260712679665039,83.51072916666666
NGsPKS3Viu4,0,0,,sad,480,360,172800,1.3333333333333333,76.49678819444445,49.82351713518506,85.65040509259259,34.260989583333334,1.9645682681978354,548.382300577498,5.235165526264829,76.49678819444445
rN0_nOAKNjw,0,0,,neutral,480,360,172800,1.3333333333333333,97.00313078703704,70.2084894625335,80.57572916666666,72.78133101851851,1.6729307494549261,4035.259923653677,10.174729351054681,97.00313078703704
-ET1D3ythdI,0,0,,sad,480,360,172800,1.3333333333333333,81.19305555555556,60.20193736967686,69.403125,19.266302083333333,1.8311666584115005,473.12759081307877,8.022573429824055,81.19305555555556
_Fcqvg_xg94,1,1,[0.04380208333333333],sad,480,360,172800,1.3333333333333333,45.70502893518518,43.00790285858068,91.84659143518519,38.84726851851852,2.77177340043739,600.0328601658949,5.731134813463152,45.70502893518518
XHWWDPRAsKg,1,1,[0.044305555555555556],happy,480,360,172800,1.3333333333333333,95.68228009259259,61.60972439664964,48.16690393518518,26.385179398148146,1.5185216044485024,265.0522968613026,5.841924775465096,95.68228009259259
MWXYyJoFK2Q,1,1,[0.03083912037037037],happy,480,360,172800,1.3333333333333333,56.869924768518516,55.69008101122402,54.41509837962963,43.93227430555555,2.390845226551688,739.8423032373917,4.57522579769,56.869924768518516
